dest_county,dest_geoid,irs_row,meaning,people,households,avg_agi_per_return
Beaver County,49001,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",283,139,53489
Beaver County,49001,Total Migration-US,Everyone who moved in from inside the US,283,139,53489
Beaver County,49001,Total Migration-Same State,Moved in from another Utah county,213,100,53880
Beaver County,49001,Total Migration-Different State,Moved in from another state,70,39,52487
Beaver County,49001,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,116,59,59458
Beaver County,49001,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,70,39,52487
Beaver County,49001,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,,,
Beaver County,49001,Other flows - South,Moved in from South counties that sent fewer than 20 households each,,,
Beaver County,49001,Other flows - West,Moved in from West counties that sent fewer than 20 households each,70,39,52487
Box Elder County,49003,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",3446,1691,63799
Box Elder County,49003,Total Migration-US,Everyone who moved in from inside the US,3446,1691,63799
Box Elder County,49003,Total Migration-Same State,Moved in from another Utah county,2483,1229,64044
Box Elder County,49003,Total Migration-Different State,Moved in from another state,963,462,63149
Box Elder County,49003,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,153,74,63662
Box Elder County,49003,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,926,440,64409
Box Elder County,49003,Other flows - Northeast,Moved in from Northeast counties that sent fewer than 20 households each,,,
Box Elder County,49003,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,80,41,75585
Box Elder County,49003,Other flows - South,Moved in from South counties that sent fewer than 20 households each,254,108,63046
Box Elder County,49003,Other flows - West,Moved in from West counties that sent fewer than 20 households each,592,291,63340
Box Elder County,49003,Foreign - Other flows,"Moved in from abroad, in groups too small for IRS to list",,,
Cache County,49005,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",6932,3893,48315
Cache County,49005,Total Migration-US,Everyone who moved in from inside the US,6878,3867,48397
Cache County,49005,Total Migration-Same State,Moved in from another Utah county,3267,1768,50460
Cache County,49005,Total Migration-Different State,Moved in from another state,3611,2099,46658
Cache County,49005,Total Migration-Foreign,Moved in from outside the US,54,26,36154
Cache County,49005,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,215,113,54177
Cache County,49005,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,2347,1340,47713
Cache County,49005,Other flows - Northeast,Moved in from Northeast counties that sent fewer than 20 households each,173,95,58653
Cache County,49005,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,371,212,44462
Cache County,49005,Other flows - South,Moved in from South counties that sent fewer than 20 households each,644,351,49151
Cache County,49005,Other flows - West,Moved in from West counties that sent fewer than 20 households each,1159,682,46460
Cache County,49005,Foreign - Other flows,"Moved in from abroad, in groups too small for IRS to list",54,26,36154
Carbon County,49007,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",937,465,46751
Carbon County,49007,Total Migration-US,Everyone who moved in from inside the US,937,465,46751
Carbon County,49007,Total Migration-Same State,Moved in from another Utah county,620,313,45521
Carbon County,49007,Total Migration-Different State,Moved in from another state,317,152,49289
Carbon County,49007,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,177,87,47540
Carbon County,49007,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,317,152,49289
Carbon County,49007,Other flows - Northeast,Moved in from Northeast counties that sent fewer than 20 households each,,,
Carbon County,49007,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,,,
Carbon County,49007,Other flows - South,Moved in from South counties that sent fewer than 20 households each,57,28,44857
Carbon County,49007,Other flows - West,Moved in from West counties that sent fewer than 20 households each,260,124,50290
Daggett County,49009,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",51,30,65733
Daggett County,49009,Total Migration-US,Everyone who moved in from inside the US,51,30,65733
Daggett County,49009,Total Migration-Same State,Moved in from another Utah county,51,30,65733
Daggett County,49009,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,51,30,65733
Daggett County,49009,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,,,
Daggett County,49009,Other flows - South,Moved in from South counties that sent fewer than 20 households each,,,
Daggett County,49009,Other flows - West,Moved in from West counties that sent fewer than 20 households each,,,
Davis County,49011,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",21540,11332,65996
Davis County,49011,Total Migration-US,Everyone who moved in from inside the US,21214,11208,65942
Davis County,49011,Total Migration-Same State,Moved in from another Utah county,12842,7047,61104
Davis County,49011,Total Migration-Different State,Moved in from another state,8372,4161,74136
Davis County,49011,Total Migration-Foreign,Moved in from outside the US,326,124,70871
Davis County,49011,Foreign - APO/FPO ZIPs,Moved in from US military mail addresses abroad,262,103,71447
Davis County,49011,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,169,86,54919
Davis County,49011,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,5343,2651,75993
Davis County,49011,Other flows - Northeast,Moved in from Northeast counties that sent fewer than 20 households each,416,220,73695
Davis County,49011,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,965,481,84913
Davis County,49011,Other flows - South,Moved in from South counties that sent fewer than 20 households each,2228,1061,77318
Davis County,49011,Other flows - West,Moved in from West counties that sent fewer than 20 households each,1734,889,70155
Davis County,49011,Foreign - Other flows,"Moved in from abroad, in groups too small for IRS to list",64,21,68048
Duchesne County,49013,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",982,468,56840
Duchesne County,49013,Total Migration-US,Everyone who moved in from inside the US,982,468,56840
Duchesne County,49013,Total Migration-Same State,Moved in from another Utah county,775,367,56466
Duchesne County,49013,Total Migration-Different State,Moved in from another state,207,101,58198
Duchesne County,49013,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,217,108,49296
Duchesne County,49013,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,207,101,58198
Duchesne County,49013,Other flows - Northeast,Moved in from Northeast counties that sent fewer than 20 households each,,,
Duchesne County,49013,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,,,
Duchesne County,49013,Other flows - South,Moved in from South counties that sent fewer than 20 households each,,,
Duchesne County,49013,Other flows - West,Moved in from West counties that sent fewer than 20 households each,207,101,58198
Duchesne County,49013,Foreign - Other flows,"Moved in from abroad, in groups too small for IRS to list",,,
Emery County,49015,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",442,221,49955
Emery County,49015,Total Migration-US,Everyone who moved in from inside the US,442,221,49955
Emery County,49015,Total Migration-Same State,Moved in from another Utah county,349,172,49622
Emery County,49015,Total Migration-Different State,Moved in from another state,93,49,51122
Emery County,49015,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,189,94,44553
Emery County,49015,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,93,49,51122
Emery County,49015,Other flows - Northeast,Moved in from Northeast counties that sent fewer than 20 households each,,,
Emery County,49015,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,,,
Emery County,49015,Other flows - South,Moved in from South counties that sent fewer than 20 households each,,,
Emery County,49015,Other flows - West,Moved in from West counties that sent fewer than 20 households each,93,49,51122
Emery County,49015,Foreign - Other flows,"Moved in from abroad, in groups too small for IRS to list",,,
Garfield County,49017,Total Migration-US and Foreign,"Everyone who moved in, from anywhere",315,157,62955
Garfield County,49017,Total Migration-US,Everyone who moved in from inside the US,315,157,62955
Garfield County,49017,Total Migration-Same State,Moved in from another Utah county,170,79,56038
Garfield County,49017,Total Migration-Different State,Moved in from another state,145,78,69962
Garfield County,49017,Other flows - Same State,Moved in from Utah counties that sent fewer than 20 households each,170,79,56038
Garfield County,49017,Other flows - Different State,Moved in from counties in other states that sent fewer than 20 households each,145,78,69962
Garfield County,49017,Other flows - Northeast,Moved in from Northeast counties that sent fewer than 20 households each,,,
Garfield County,49017,Other flows - Midwest,Moved in from Midwest counties that sent fewer than 20 households each,,,
